Episode,Score,Pipes_Surpassed,Epsilon,Mean_Score_Last_100
303,-422.286859098868,0,0.12448897795591182,-387.29877529200434
304,-680.664133875175,0,0.12390781563126255,-392.3482808053035
305,-493.6267382743043,0,0.12332665330661324,-393.96624134630395
306,-115.02489501634443,0,0.12274549098196394,-388.5576784752754
307,-598.1854787096431,0,0.12216432865731464,-387.90712414640853
308,-609.1041488281896,0,0.12158316633266533,-388.452522573884
309,-253.4951144819285,0,0.12100200400801606,-384.92414995322883
310,-182.6408260626588,0,0.12042084168336675,-386.0776578284402
311,-190.55555918415718,0,0.11983967935871745,-382.39049972849483
312,-636.3258726916472,0,0.11925851703406815,-383.85533963227715
313,-524.373535227794,0,0.11867735470941884,-383.12826817882706
314,-379.8693104310463,0,0.11809619238476954,-380.64479953685566
315,-503.1765541211836,0,0.11751503006012026,-381.25477922265765
316,-652.1682724900927,0,0.11693386773547096,-381.9758980214793
317,-329.45087544420306,0,0.11635270541082166,-379.72208668154036
318,-614.21203256087,0,0.11577154308617235,-379.32363467750895
319,-209.0087384696074,0,0.11519038076152305,-377.721094970013
320,-435.3165485742541,0,0.11460921843687377,-377.7326209296682
321,-589.1291007915906,0,0.11402805611222447,-381.23187820998544
322,-161.36108117750587,0,0.11344689378757516,-381.7671399477774
323,-216.24914100122749,0,0.11286573146292586,-377.0092080900351
324,-439.1192677369174,0,0.11228456913827656,-375.28281698638244
325,-262.4034161162924,0,0.11170340681362725,-375.6231083723294
326,-211.7527717942147,0,0.11112224448897798,-371.33887227053214
327,-607.2509895747662,0,0.11054108216432867,-374.7081342643069
328,-698.7018394861113,0,0.10995991983967937,-378.9370697786213
329,-169.99602234455176,0,0.10937875751503007,-373.9933741044601
330,-640.5300765606518,0,0.10879759519038076,-373.7922207787881
331,-274.6042701382676,0,0.10821643286573149,-372.51018152822303
332,-508.777158525702,0,0.10763527054108218,-372.6484941920875
333,-344.2516143586254,0,0.10705410821643288,-374.7834800703742
334,-107.99874320893446,0,0.10647294589178358,-371.852699183341
335,-126.9184057373169,0,0.10589178356713427,-371.61113611883127
336,-566.1479746903401,0,0.105310621242485,-371.69841681732674
337,-377.9057330384702,0,0.1047294589178357,-372.63148405899904
338,-482.35911010713454,0,0.10414829659318639,-372.6244687087016
339,-482.48775404906655,0,0.10356713426853709,-375.58678137784403
340,-556.0380301091752,0,0.10298597194388778,-378.18937590696254
341,-635.4935276590008,0,0.10240480961923848,-379.17144583828434
342,-198.48108774530823,0,0.1018236472945892,-376.01623841304695
343,-209.61947581482474,0,0.1012424849699399,-373.82990789877044
344,-107.7148830941477,0,0.1006613226452906,-372.7905744916129
345,-318.8770947876484,0,0.10008016032064129,-372.23502931632515
346,-182.4680428267062,0,0.09949899799599199,-369.85566048883464
347,-336.5953543767098,0,0.09891783567134271,-366.68792941441825
348,-374.02106849175226,0,0.09833667334669341,-366.0537268537943
349,-495.96182111757366,0,0.0977555110220441,-366.2205858056857
350,-433.1474495566203,0,0.0971743486973948,-368.09993069319006
351,-484.62277084274365,0,0.0965931863727455,-368.7891826077416
352,-323.2994287896473,0,0.0960120240480962,-370.251146086242
353,-487.83234199794003,0,0.09543086172344692,-373.8420074282372
354,-484.8699909607585,0,0.09484969939879762,-372.4598349411294
355,-599.0221469062565,0,0.09426853707414831,-375.3853869438006
356,-611.9883627250246,0,0.09368737474949901,-377.6568847494675
357,-152.93691790263563,0,0.0931062124248497,-377.7040395211786
358,-312.723351252909,0,0.09252505010020043,-378.6078149931632
359,-287.79093284908714,0,0.09194388777555113,-377.7141899122086
360,-362.9224096094293,0,0.09136272545090182,-380.33230075335314
361,-357.92961834931657,0,0.09078156312625252,-377.71960201689063
362,-314.5061273241588,0,0.09020040080160321,-377.25069743119457
363,-340.9536625362273,0,0.08961923847695391,-377.13899397745763
364,-112.0577784796825,0,0.08903807615230463,-373.68759341979967
365,-278.9638867368523,0,0.08845691382765533,-369.947151792508
366,-458.6718612249167,0,0.08787575150300603,-372.8109403391277
367,-655.0755129289599,0,0.08729458917835672,-377.55653756776996
368,-174.5721474984192,0,0.08671342685370742,-377.9140771458013
369,-368.10907024795216,0,0.08613226452905814,-379.84519437924644
370,-148.6844598700834,0,0.08555110220440884,-379.1313056261006
371,-477.0881598745561,0,0.08496993987975954,-381.72779361504695
372,-358.0825401857027,0,0.08438877755511023,-381.23083622663285
373,-533.8567642673491,0,0.08380761523046093,-384.6686909017303
374,-373.0944895617819,0,0.08322645290581163,-386.66229946944003
375,-271.4034556905364,0,0.08264529058116235,-385.65489988083516
376,-301.6499333284508,0,0.08206412825651305,-384.5948932296636
377,-341.1238749173964,0,0.08148296593186374,-383.53829688395416
378,-213.81669504539082,0,0.08090180360721444,-381.5704406175878
379,-590.0606051520058,0,0.08032064128256514,-384.37359554419817
380,-289.38704049764465,0,0.07973947895791586,-384.2227359700846
381,-292.887738539272,0,0.07915831663326656,-383.4703859176949
382,-165.6373364521595,0,0.07857715430861725,-382.06648738432455
383,-651.715808247846,0,0.07799599198396795,-386.84474908963
384,-489.78494341963165,0,0.07741482965931865,-386.9226986827237
385,-144.44375875909873,0,0.07683366733466934,-384.17611089310367
386,-406.98007056052785,0,0.07625250501002007,-382.13920731706224
387,-177.3243001124746,0,0.07567134268537076,-377.6206300997026
388,-67.01948964942517,0,0.07509018036072146,-372.0158563307717
389,-64.75127664461627,0,0.07450901803607216,-369.6670967650102
390,-354.8707036764809,0,0.07392785571142285,-369.9680139699196
391,-577.0001780051424,0,0.07334669338677358,-372.6704417788789
392,-597.631876606032,0,0.07276553106212427,-376.8360764424223
393,-221.633676272868,0,0.07218436873747497,-373.273704008963
394,-89.59267974532588,0,0.07160320641282567,-370.356497548297
395,-635.305597390645,0,0.07102204408817636,-372.35714972662936
396,-600.1613515132426,0,0.07044088176352709,-375.78462953712835
397,-205.8515151495671,0,0.06985971943887778,-376.40222727194583
398,-300.70828076722904,0,0.06927855711422848,-377.5928880706766
399,-440.27029190184834,0,0.06869739478957917,-378.3266166067268
400,-564.7457065047859,0,0.06811623246492987,-378.83338265668465
401,-680.5780274869393,0,0.06753507014028057,-378.97203280103605
402,-279.90203498300815,0,0.06695390781563129,-380.21740779501107
403,-309.97393367495295,0,0.06637274549098199,-379.09427854077194
404,-634.5680534297128,0,0.06579158316633268,-378.6333177363173
